Date,Open,High,Low,Close,Adj Close,Volume
2023-11-03,34963.5,34965.5,33989.0,34723.0,34723.0,603968000
2023-11-04,34723.0,35296.5,34595.5,35097.5,35097.5,149698100
2023-11-05,35097.5,35478.5,34476.5,35057.5,35057.5,311731500
2023-11-06,35057.5,35325.0,34771.5,35068.5,35068.5,203749100
2023-11-07,35068.5,35942.5,34548.0,35435.0,35435.0,365674800
2023-11-08,35435.0,36161.5,35117.0,35649.5,35649.5,320896500
2023-11-09,35649.5,38085.0,35575.5,36721.0,36721.0,798492500
2023-11-10,36721.0,37598.5,36351.0,37341.0,37341.0,382648100
2023-11-11,37341.0,37433.5,36677.0,37169.5,37169.5,207464300
2023-11-12,37169.5,37270.0,36754.5,37109.5,37109.5,152670000
2023-11-13,37109.5,37464.5,36350.5,36473.0,36473.0,326739600
2023-11-14,36473.0,36782.5,34626.5,35565.5,35565.5,526304300
2023-11-15,35565.5,38001.5,35382.0,37906.5,37906.5,523056800
2023-11-16,37906.5,37974.5,35500.0,36164.5,36164.5,505790800
2023-11-17,36164.5,36887.0,35858.5,36615.5,36615.5,371157200
2023-11-18,36615.5,36853.0,36208.0,36581.5,36581.5,177153600
2023-11-19,36581.5,37541.5,36399.0,37390.5,37390.5,185030400
2023-11-20,37390.5,37780.0,36706.0,37471.5,37471.5,388351800
2023-11-21,37471.5,37677.5,35685.5,35707.5,35707.5,598361800
2023-11-22,35707.5,37878.0,35515.5,37420.0,37420.0,357188200
2023-11-23,37420.0,37650.5,36842.5,37273.0,37273.0,212263200
2023-11-24,37273.0,38439.5,37246.5,37735.5,37735.5,502836100
2023-11-25,37735.5,37893.0,37580.0,37795.0,37795.0,147631900
2023-11-26,37795.0,37808.0,37128.0,37443.0,37443.0,263878400
2023-11-27,37443.0,37569.0,36650.0,37238.0,37238.0,366801500
2023-11-28,37238.0,38400.0,36863.5,37817.0,37817.0,367848100
2023-11-29,37817.0,38486.0,37552.0,37854.5,37854.5,315939100
2023-11-30,37854.5,38132.0,37452.0,37707.0,37707.0,265998900
2023-12-01,37707.0,39044.5,37610.0,38724.0,38724.0,778779600
2023-12-02,38724.0,39887.0,38680.5,39505.0,39505.0,303211100
2023-12-03,39505.0,40400.0,39305.0,40024.0,40024.0,251914500
2023-12-04,40024.0,42479.0,40022.5,42010.0,42010.0,732079000
2023-12-05,42010.0,44539.5,41423.5,44116.0,44116.0,604297700
2023-12-06,44116.0,44309.0,43330.5,43749.5,43749.5,782134900
2023-12-07,43749.5,44038.0,42777.5,43286.5,43286.5,430014800
2023-12-08,43286.5,44745.5,43051.5,44168.5,44168.5,379100800
2023-12-09,44168.5,44358.5,43570.0,43736.5,43736.5,281836200
2023-12-10,43736.5,44074.5,43544.0,43809.5,43809.5,189510100
2023-12-11,43809.5,43824.5,40178.5,41236.5,41236.5,1029243700
2023-12-12,41236.5,42100.0,40650.0,41476.5,41476.5,571036600
2023-12-13,41476.5,43525.0,40555.0,42875.0,42875.0,545322100
2023-12-14,42875.0,43434.0,41301.0,43037.0,43037.0,481018400
2023-12-15,43037.0,43103.5,41660.0,41961.0,41961.0,320030900
2023-12-16,41961.0,42751.5,41600.0,42277.5,42277.5,198336000
2023-12-17,42277.5,42425.5,41164.5,41350.0,41350.0,441670200
2023-12-18,41350.0,42765.0,40513.0,42645.5,42645.5,524799600
2023-12-19,42645.5,43485.5,41807.5,42273.0,42273.0,353836500
2023-12-20,42273.0,44331.5,42194.0,43699.5,43699.5,495978000
2023-12-21,43699.5,44282.0,43322.5,43900.5,43900.5,380397100
2023-12-22,43900.5,44484.5,43429.5,44007.0,44007.0,288881100
2023-12-23,44007.0,44033.0,43315.0,43735.5,43735.5,172172600
2023-12-24,43735.5,43987.5,42539.5,43032.0,43032.0,254668300
2023-12-25,43032.0,43849.0,42754.0,43628.5,43628.5,264077800
2023-12-26,43628.5,43640.5,41640.0,42533.0,42533.0,466708600
2023-12-27,42533.0,43728.0,42130.0,43475.0,43475.0,357844100
2023-12-28,43475.0,43893.5,42307.5,42610.0,42610.0,335883400
2023-12-29,42610.0,43177.5,41284.0,42080.0,42080.0,431491600
2023-12-30,42080.0,42639.5,41552.5,42187.0,42187.0,245127800
2023-12-31,42187.0,42905.0,41983.5,42312.0,42312.0,197525500
2024-01-01,42312.0,44275.0,42213.0,44257.5,44257.5,291996800
2024-01-02,44257.5,45965.5,44227.0,44974.0,44974.0,753687200
2024-01-03,44974.0,45545.0,40200.0,42853.0,42853.0,970282800
2024-01-04,42853.0,44824.0,42635.5,44164.5,44164.5,504945800
2024-01-05,44164.5,44429.5,42333.5,44167.5,44167.5,650428400
2024-01-06,44167.5,44226.0,43420.0,43972.0,43972.0,200073800
2024-01-07,43972.0,44468.5,43572.0,43926.5,43926.5,255682800
2024-01-08,43926.5,47342.0,43164.0,46986.5,46986.5,838402400
2024-01-09,46986.5,47999.0,44564.0,46106.0,46106.0,831909200
2024-01-10,46106.0,47696.5,44285.0,46647.0,46647.0,1153736600
2024-01-11,46647.0,49049.5,45570.0,46325.5,46325.5,991944200
2024-01-12,46325.5,46507.5,41315.5,42712.0,42712.0,688168600
2024-01-13,42712.0,43245.0,42363.5,42824.5,42824.5,261613100
2024-01-14,42824.5,43045.5,41656.5,41690.5,41690.5,277431400
2024-01-15,41690.5,43342.0,41667.5,42467.5,42467.5,298009300
2024-01-16,42467.5,43560.0,42000.0,43108.5,43108.5,289170000
2024-01-17,43108.5,43171.5,42140.5,42726.5,42726.5,272844100
2024-01-18,42726.5,42872.0,40594.0,41256.0,41256.0,415825600
2024-01-19,41256.0,42140.5,40232.0,41606.0,41606.0,446859700
2024-01-20,41606.0,41844.5,41412.0,41651.0,41651.0,112601000
2024-01-21,41651.0,41846.0,41476.5,41550.0,41550.0,112461900
2024-01-22,41550.0,41655.0,39327.5,39502.5,39502.5,647393700
2024-01-23,39502.5,40123.0,38498.0,39864.0,39864.0,461603700
